Country,HappinessScore2015,HappinessScore2016,HappinessScore2017,HappinessScore2018,HappinessScore2019
Switzerland,7.587000000000001,7.5089999999999995,7.493999958,7.487,7.48
Iceland,7.561,7.501,7.504000187000001,7.495,7.494
Denmark,7.527,7.526,7.521999836,7.555,7.6
Norway,7.522,7.497999999999999,7.537000179,7.593999999999999,7.553999999999999
Canada,7.4270000000000005,7.404,7.315999985,7.327999999999999,7.278
Finland,7.406000000000001,7.412999999999999,7.468999863,7.632000000000001,7.769
Netherlands,7.377999999999999,7.3389999999999995,7.376999855,7.441,7.4879999999999995
Sweden,7.364,7.291,7.28399992,7.314,7.343
New Zealand,7.2860000000000005,7.334,7.31400013,7.324,7.307
Australia,7.284,7.313,7.28399992,7.272,7.228
Israel,7.278,7.267,7.212999821,6.814,7.138999999999999
Costa Rica,7.226,7.087000000000001,7.078999996,7.072,7.167000000000001
Austria,7.2,7.119,7.006000042,7.138999999999999,7.246
Mexico,7.187,6.778,6.578000069,6.4879999999999995,6.595
United States,7.119,7.104,6.993000031,6.886,6.892
Brazil,6.983,6.952000000000001,6.635000229,6.419,6.3
Luxembourg,6.946000000000001,6.871,6.862999916000001,6.91,7.09
Ireland,6.94,6.907,6.977000237,6.977,7.021
Belgium,6.937,6.928999999999999,6.890999794,6.9270000000000005,6.922999999999999
United Arab Emirates,6.901,6.5729999999999995,6.647999763,6.774,6.825
United Kingdom,6.867000000000001,6.725,6.714000225,7.19,7.053999999999999
Oman,6.853,void,void,void,void
Venezuela,6.81,6.084,5.25,4.806,4.707
Singapore,6.797999999999999,6.739,6.5720000270000005,6.343,6.2620000000000005
Panama,6.7860000000000005,6.7010000000000005,6.452000141,6.43,6.321000000000001
Germany,6.75,6.994,6.951000214,6.965,6.985
Chile,6.67,6.705,6.65199995,6.476,6.444
Qatar,6.611000000000001,6.375,6.375,6.374,6.374
France,6.575,6.478,6.441999912000001,6.489,6.5920000000000005
Argentina,6.574,6.65,6.598999977,6.388,6.086
Czech Republic,6.505,6.596,6.609000206,6.711,6.852
Uruguay,6.485,6.545,6.453999996,6.379,6.292999999999999
Colombia,6.477,6.481,6.3569998739999996,6.26,6.125
Thailand,6.455,6.474,6.423999786,6.072,6.007999999999999
Saudi Arabia,6.4110000000000005,6.379,6.343999863,6.371,6.375
Spain,6.329,6.361000000000001,6.402999877999999,6.31,6.354
Malta,6.3020000000000005,6.4879999999999995,6.52699995,6.627000000000001,6.726
Taiwan,6.297999999999999,6.379,void,6.441,6.446000000000001
Kuwait,6.295,6.239,6.105000018999999,6.082999999999999,6.021
Suriname,6.269,6.269,void,void,void
Trinidad and Tobago,6.167999999999999,6.167999999999999,6.168000221000001,void,void
El Salvador,6.13,6.068,6.002999783,6.167000000000001,6.252999999999999
Guatemala,6.122999999999999,6.324,6.453999996,6.382000000000001,6.436
Uzbekistan,6.002999999999999,5.987,5.971000195,6.096,6.1739999999999995
Slovakia,5.995,6.077999999999999,6.09800005,6.172999999999999,6.1979999999999995
Japan,5.987,5.921,5.920000076,5.915,5.886
South Korea,5.984,5.835,5.837999821,5.875,5.895
Ecuador,5.975,5.976,6.007999897,5.973,6.028
Bahrain,5.96,6.218,6.086999893,6.105,6.199
Italy,5.9479999999999995,5.977,5.964000225,6.0,6.223
Bolivia,5.89,5.822,5.822999954,5.752000000000001,5.779
Moldova,5.888999999999999,5.897,5.837999821,5.64,5.529
Paraguay,5.877999999999999,5.537999999999999,5.493000031,5.681,5.742999999999999
Kazakhstan,5.855,5.919,5.818999767,5.79,5.809
Slovenia,5.848,5.768,5.757999897,5.9479999999999995,6.117999999999999
Lithuania,5.832999999999999,5.813,5.90199995,5.952000000000001,6.149
Nicaragua,5.827999999999999,5.992000000000001,6.071000099,6.141,6.105
Peru,5.824,5.742999999999999,5.715000152999999,5.662999999999999,5.697
Belarus,5.813,5.8020000000000005,5.568999767,5.483,5.3229999999999995
Poland,5.791,5.835,5.97300005,6.122999999999999,6.182
Malaysia,5.77,6.005,6.084000111,6.322,5.3389999999999995
Croatia,5.7589999999999995,5.4879999999999995,5.293000221000001,5.321000000000001,5.432
Libya,5.754,5.615,5.525000095,5.566,5.525
Russia,5.716,5.856,5.962999821,5.81,5.648
Jamaica,5.709,5.51,5.31099987,5.89,5.89
North Cyprus,5.695,5.771,5.809999942999999,void,void
Cyprus,5.689,5.546,5.620999812999999,5.7620000000000005,6.046
Algeria,5.605,6.355,5.872000217,5.295,5.211
Kosovo,5.5889999999999995,5.401,5.278999805,5.662000000000001,6.1
Turkmenistan,5.547999999999999,5.6579999999999995,5.8220000270000005,5.636,5.247000000000001
Mauritius,5.477,5.648,5.629000187000001,5.891,5.888
